"","x"
"1","general"
"2","bildung"
"3","concept"
"4","notion"
"5","purpose"
"6","education"
"7","life"
"8","goes"
"9","beyond"
"10","concrete"
"11","content"
"12","roots"
"13","back"
"14","antiquity"
"15","throughout"
"16","history"
"17","carried"
"18","changing"
"19","ideals"
"20","reflected"
"21","fundamental"
"22","values"
"23","​​of"
"24","contemporary"
"25","societal"
"26","structure"
"27","dolin"
"28","2013"
"29","danish"
"30","view"
"31","german"
"32","​​from"
"33","first"
"34","half"
"35","19th"
"36","century"
"37","physicist"
"38","hans"
"39","christian"
"40","ørsted"
"41","gave"
"42","one"
"43","formulations"
"44","nyt"
"45","aftenblad"
"46","1824"
"47","much"
"48","amount"
"49","knowledge"
"50","must"
"51","goal"
"52","higher"
"53","teaching"
"54","stamp"
"55","reason"
"56","put"
"57","quoted"
"58","haue"
"59","2004"
"60","p"
"61","10"
"62","formulation"
"63","provides"
"64","understanding"
"65","without"
"66","defining"
"67","unambiguously"
"68","strength"
"69","weakness"
"70","ever"
"71","since"
"72","discourse"
"73","analysis"
"74","calls"
"75","fluid"
"76","denominator"
"77","ie"
"78","whose"
"79","meaning"
"80","determined"
"81","different"
"82","discourses"
"83","struggle"
"84","fill"
"85","unfolds"
"86","threefold"
"87","division"
"88","true"
"89","good"
"90","will"
"91","beautiful"
"92","imagination"
"93","somewhat"
"94","roughly"
"95","equated"
"96","thoughts"
"97","personalization"
"98","almost"
"99","found"
"100","wolfgang"
"101","klafki"
"102","f1927d2016"
"103","theorist"
"104","within"
"105","greatest"
"106","influence"
"107","system"
"108","theory"
"109","basis"
"110","high"
"111","school"
"112","reform"
"113","1971"
"114","brings"
"115","together"
"116","number"
"117","hitherto"
"118","educational"
"119","notions"
"120","two"
"121","groups"
"122","namely"
"123","material"
"124","perceptions"
"125","emphasize"
"126","selection"
"127","formal"
"128","theories"
"129","broad"
"130","applicability"
"131","procedural"
"132","subjects"
"133","contrast"
"134","formulates"
"135","socalled"
"136","category"
"137","covers"
"138","…"
"139","phenomenon"
"140","experience"
"141","people"
"142","immediately"
"143","comprehend"
"144","unity"
"145","objective"
"146","subjective"
"147","moment"
"148","categorical"
"149","double"
"150","sense"
"151","reality"
"152","categorically"
"153","opened"
"154","human"
"155","thanks"
"156","insights"
"157","experiences"
"158","nature"
"159","man"
"160","fulfilled"
"161","1983"
"162","61ff"
"163","personality"
"164","formation"
"165","based"
"166","professional"
"167","made"
"168","learners"
"169","help"
"170","shape"
"171","perception"
"172","world"
"173","later"
"174","writings"
"175","concretizes"
"176","personal"
"177","aspect"
"178","defines"
"179","duality"
"180","reflections"
"181","relationship"
"182","personally"
"183","respect"
"184","means"
"185","gaining"
"186","historically"
"187","conveyed"
"188","awareness"
"189","central"
"190","issues"
"191","time"
"192","far"
"193","predictable"
"194","future"
"195","gain"
"196","insight"
"197","everyone"
"198","coresponsible"
"199","willingness"
"200","contribute"
"201","solution"
"202","problems"
"203","2001"
"204","73"
"205","believes"
"206","achieved"
"207","working"
"208","typical"
"209","key"
"210","mentions"
"211","five"
"212","question"
"213","peace"
"214","environmental"
"215","inequality"
"216","created"
"217","society"
"218","technical"
"219","management"
"220","communication"
"221","information"
"222","media"
"223","jerk"
"224","subjectivity"
"225","center"
"226","ibid"
"227","ff"
"228","clear"
"229","part"
"230","perhaps"
"231","even"
"232","important"
"233","others"
"234","alone"
"235","enough"
"236","processing"
"237","look"
"238","able"
"239","relate"
"240","classic"
"241","continuously"
"242","developed"
"243","adapted"
"244","rapid"
"245","change"
"246","learning"
"247","period"
"248","søren"
"249","bengtsen"
"250","description"
"251","klafkis"
"252","draws"
"253","concepts"
"254","latent"
"255","potential"
"256","wisdom"
"257","maturation"
"258","explains"
"259","become"
"260","relevant"
"261","functions"
