"","x"
"1","general"
"2","bildung"
"3","education"
"4","project"
"5","course"
"6","notion"
"7","roots"
"8","danish"
"9","one"
"10","knowledge"
"11","ever"
"12","klafki"
"13","greater"
"14","basis"
"15","two"
"16","emphasise"
"17","covers"
"18","categorical"
"19","double"
"20","personality"
"21","duality"
"22","respect"
"23","perhaps"
"24","continuously"
"25","learn"
"26","draw"
"27","become"
"28","function"
"29","something"
"30","furthermore"
"31","formed-forming"
"32","individual"
"33","precisely"
"34","order"
"35","take"
"36","belongs"
"37","renounce"
"38","work"
"39","rightly"
"40","natural"
"41","purpose"
"42","entering"
"43","life"
"44","system"
"45","achieve"
"46","include"
"47","context"
"48","consist"
"49","goes"
"50","role"
"51","autonomy"
"52","beyond"
"53","concrete"
"54","content"
"55","able"
"56","science"
"57","situation"
"58","unfolds"
"59","selection"
"60","professional"
"61","reflection"
"62","relation"
"63","methods"
"64","proficiency"
"65","ensure"
"66","back"
"67","german"
"68","antiquity"
"69","throughout"
"70","history"
"71","carried"
"72","conveyed"
"73","simultaneous"
"74","change"
"75","ideal"
"76","reflect"
"77","fundamental"
"78","active"
"79","values"
"80","contemporary"
"81","first"
"82","understanding"
"83","based"
"84","society"
"85","call"
"86","structure"
"87","technical"
"88","relate"
"89","rapid"
"90","development"
"91","eye"
"92","view"
"93","half"
"94","formulate"
"95","century"
"96","physicist"
"97","gave"
"98","must"
"99","brings"
"100","part"
"101","socialisation"
"102","scientific"
"103","nyt"
"104","provide"
"105","socalled"
"106","following"
"107","aftenblad"
"108","much"
"109","amount"
"110","quote"
"111","thinking"
"112","personal"
"113","almost"
"114","broad"
"115","subject"
"116","nature"
"117","issues"
"118","important"
"119","alone"
"120","enough"
"121","norms"
"122","perspective"
"123","dimension"
"124","identity"
"125","static"
"126","give"
"127","goal"
"128","process"
"129","present"
"130","high"
"131","teaching"
"132","school"
"133","stamp"
"134","reason"
"135","put"
"136","threefold"
"137","good"
"138","will"
"139","imagination"
"140","without"
"141","people"
"142","maturation"
"143","see"
"144","define"
"145","guidance"
"146","unambiguously"
"147","strength"
"148","weakness"
"149","since"
"150","discourse"
"151","analysis"
"152","struggle"
"153","fluid"
"154","denominator"
"155","whose"
"156","meaning"
"157","theory"
"158","determine"
"159","different"
"160","fill"
"161","division"
"162","true"
"163","found"
"164","beautiful"
"165","usually"
"166","somewhat"
"167","roughly"
"168","equal"
"169","aspect"
"170","authority"
"171","theorist"
"172","concretize"
"173","believes"
"174","within"
"175","various"
"176","influence"
"177","reform"
"178","subjectinternal"
"179","together"
"180","mind"
"181","number"
"182","hitherto"
"183","group"
"184","dimensions"
"185","vision"
"186","namely"
"187","material"
"188","viewedof"
"189","subjective"
"190","teacher"
"191","formal"
"192","moment"
"193","apply"
"194","sense"
"195","procedural"
"196","contrast"
"197","insight"
"198","culture"
"199","acquire"
"200","virtue"
"201","impact"
"202","continues"
"203","taught"
"204","competence"
"205","conditions"
"206","area"
"207","expand"
"208","write"
"209","category"
"210","typical"
"211","phenomenon"
"212","experience"
"213","experiences"
"214","immediately"
"215","recognize"
"216","accord"
"217","comprehend"
"218","unity"
"219","objective"
"220","center"
"221","open"
"222","reality"
"223","thanks"
"224","human"
"225","curious"
"226","jerk"
"227","use"
"228","made"
"229","everyone"
"230","man"
"231","fulfilled"
"232","formation"
"233","characterise"
"234","idea"
"235","activity"
"236","learner"
"237","stupid"
"238","unworthy"
"239","help"
"240","perception"
"241","allow"
"242","shape"
"243","world"
"244","later"
"245","dangerous"
"246","book"
"247","tool"
"248","circles"
"249","disciplines"
"250","mean"
"251","gain"
"252","willingness"
"253","awareness"
"254","clear"
"255","time"
"256","look"
"257","far"
"258","defend"
"259","predictable"
"260","future"
"261","demand"
"262","coresponsible"
