"","x"
"1","general"
"2","bildung"
"3","education"
"4","project"
"5","course"
"6","notion"
"7","roots"
"8","danish"
"9","one"
"10","knowledge"
"11","ever"
"12","klafki"
"13","greater"
"14","basis"
"15","two"
"16","emphasise"
"17","covers"
"18","categorical"
"19","double"
"20","personality"
"21","duality"
"22","respect"
"23","perhaps"
"24","continuously"
"25","learn"
"26","draw"
"27","become"
"28","function"
"29","something"
"30","furthermore"
"31","formed-formed-forming"
"32","individual"
"33","precisely"
"34","order"
"35","take"
"36","belongs"
"37","renounce"
"38","work"
"39","rightly"
"40","natural"
"41","purpose"
"42","entering"
"43","life"
"44","system"
"45","achieve"
"46","include"
"47","context"
"48","consist"
"49","goes"
"50","role"
"51","autonomy"
"52","beyond"
"53","concrete"
"54","content"
"55","able"
"56","science"
"57","situation"
"58","unfolds"
"59","selection"
"60","professional"
"61","reflection"
"62","relationhip"
"63","methods"
"64","proficiency"
"65","ensure"
"66","back"
"67","german"
"68","antiquity"
"69","throughout"
"70","history"
"71","carried"
"72","conveyed"
"73","simultaneous"
"74","change"
"75","ideal"
"76","reflect"
"77","fundamental"
"78","active"
"79","values"
"80","contemporary"
"81","first"
"82","understanding"
"83","based"
"84","society"
"85","call"
"86","structure"
"87","technical"
"88","relate"
"89","rapid"
"90","developpment"
"91","eye"
"92","view"
"93","half"
"94","formulates"
"95","century"
"96","physicist"
"97","gave"
"98","must"
"99","brings"
"100","part"
"101","socialisation"
"102","scientific"
"103","nyt"
"104","aftenblad"
"105","much"
"106","amount"
"107","quote"
"108","thinking"
"109","personal"
"110","almost"
"111","broad"
"112","subject"
"113","nature"
"114","issues"
"115","important"
"116","alone"
"117","enough"
"118","norms"
"119","perspective"
"120","dimension"
"121","identity"
"122","static"
"123","give"
"124","goal"
"125","process"
"126","present"
"127","high"
"128","teaching"
"129","school"
"130","stamp"
"131","reason"
"132","put"
"133","threefold"
"134","good"
"135","will"
"136","imagination"
"137","formulate"
"138","provide"
"139","socall"
"140","following"
"141","without"
"142","people"
"143","maturation"
"144","see"
"145","define"
"146","guidance"
"147","unambiguously"
"148","strength"
"149","weakness"
"150","since"
"151","discourse"
"152","analysis"
"153","struggle"
"154","fluid"
"155","denominator"
"156","whose"
"157","meaning"
"158","theory"
"159","determine"
"160","different"
"161","fill"
"162","division"
"163","true"
"164","found"
"165","beautiful"
"166","usually"
"167","somewhat"
"168","roughly"
"169","equal"
"170","aspect"
"171","authority"
"172","theorist"
"173","concretize"
"174","believes"
"175","within"
"176","various"
"177","influence"
"178","reform"
"179","subjectinternal"
"180","together"
"181","mind"
"182","number"
"183","hitherto"
"184","group"
"185","dimensions"
"186","vision"
"187","namely"
"188","material"
"189","viewed"
"190","subjective"
"191","formal"
"192","moment"
"193","apply"
"194","sense"
"195","procedural"
"196","contrast"
"197","insight"
"198","culture"
"199","acquire"
"200","relation"
"201","virtue"
"202","impact"
"203","continues"
"204","taught"
"205","competence"
"206","conditions"
"207","area"
"208","expand"
"209","write"
"210","category"
"211","typical"
"212","phenomenon"
"213","experience"
"214","immediately"
"215","recognize"
"216","accord"
"217","comprehend"
"218","unity"
"219","objective"
"220","center"
"221","open"
"222","reality"
"223","thanks"
"224","human"
"225","curious"
"226","jerk"
"227","use"
"228","made"
"229","everyone"
"230","man"
"231","fulfilled"
"232","formation"
"233","formed-forming"
"234","characterise"
"235","idea"
"236","activity"
"237","learner"
"238","stupid"
"239","unworthy"
"240","help"
"241","perception"
"242","shape"
"243","world"
"244","later"
"245","dangerous"
"246","book"
"247","tool"
"248","discipline"
"249","mean"
"250","gain"
"251","willingnessness"
"252","awareness"
"253","clear"
"254","time"
"255","look"
"256","far"
"257","defend"
"258","predictable"
"259","future"
"260","demand"
"261","coresponsible"
