"","x"
"1","i"
"2","me"
"3","my"
"4","myself"
"5","we"
"6","our"
"7","ours"
"8","ourselves"
"9","you"
"10","your"
"11","yours"
"12","yourself"
"13","yourselves"
"14","he"
"15","him"
"16","his"
"17","himself"
"18","she"
"19","her"
"20","hers"
"21","herself"
"22","it"
"23","its"
"24","itself"
"25","they"
"26","them"
"27","their"
"28","theirs"
"29","themselves"
"30","what"
"31","which"
"32","who"
"33","whom"
"34","this"
"35","that"
"36","these"
"37","those"
"38","am"
"39","is"
"40","are"
"41","was"
"42","were"
"43","be"
"44","been"
"45","being"
"46","have"
"47","has"
"48","had"
"49","having"
"50","do"
"51","does"
"52","did"
"53","doing"
"54","would"
"55","should"
"56","could"
"57","ought"
"58","i'm"
"59","you're"
"60","he's"
"61","she's"
"62","it's"
"63","we're"
"64","they're"
"65","i've"
"66","you've"
"67","we've"
"68","they've"
"69","i'd"
"70","you'd"
"71","he'd"
"72","she'd"
"73","we'd"
"74","they'd"
"75","i'll"
"76","you'll"
"77","he'll"
"78","she'll"
"79","we'll"
"80","they'll"
"81","isn't"
"82","aren't"
"83","wasn't"
"84","weren't"
"85","hasn't"
"86","haven't"
"87","hadn't"
"88","doesn't"
"89","don't"
"90","didn't"
"91","won't"
"92","wouldn't"
"93","shan't"
"94","shouldn't"
"95","can't"
"96","cannot"
"97","couldn't"
"98","mustn't"
"99","let's"
"100","that's"
"101","who's"
"102","what's"
"103","here's"
"104","there's"
"105","when's"
"106","where's"
"107","why's"
"108","how's"
"109","a"
"110","an"
"111","the"
"112","and"
"113","but"
"114","if"
"115","or"
"116","because"
"117","as"
"118","until"
"119","while"
"120","of"
"121","at"
"122","by"
"123","for"
"124","with"
"125","about"
"126","against"
"127","between"
"128","into"
"129","through"
"130","during"
"131","before"
"132","after"
"133","above"
"134","below"
"135","to"
"136","from"
"137","up"
"138","down"
"139","in"
"140","out"
"141","on"
"142","off"
"143","over"
"144","under"
"145","again"
"146","further"
"147","then"
"148","once"
"149","here"
"150","there"
"151","when"
"152","where"
"153","why"
"154","how"
"155","all"
"156","any"
"157","both"
"158","each"
"159","few"
"160","more"
"161","most"
"162","other"
"163","some"
"164","such"
"165","no"
"166","nor"
"167","not"
"168","only"
"169","own"
"170","same"
"171","so"
"172","than"
"173","too"
"174","very"
"175","can"
"176","also"
"177","although"
"178","may"
"179","maybe"
"180","moreover"
"181","mostly"
"182","onto"
"183","per se"
"184","really"
"185","therefore"
"186","though"
"187","thus"
"188","assistmekudkpracticalexamplesswissexamples"
"189","behaving"
"190","bhaskars"
"191","biesta"
"192","binkley"
"193","black"
"194","bloemecke"
"195","bohlin"
"196","bulte"
"197","bundsgaard"
"198","burman"
"199","bybee"
"200","christian"
"201","cizek"
"202","concept"
"203","dale"
"204","de"
"205","deboer"
"206","dolin"
"207","duschl"
"208","elmose"
"209","elster"
"210","erich"
"211","etc"
"212","fellenz"
"213","fischler"
"214","føllesdal"
"215","gilbert"
"216","gitomer"
"217","grugeonallys"
"218","gustavsson"
"219","hadzigeorgiou"
"220","haladyna"
"221","hammett"
"222","hans"
"223","hansgeorg"
"224","harlen"
"225","haue"
"226","højgaard"
"227","horlacher"
"228","illeris"
"229","james"
"230","john"
"231","kauertz"
"232","kemp"
"233","kivel"
"234","kiveloe"
"235","klieme"
"236","krogh"
"237","larsen"
"238","leuders"
"239","liedman"
"240","ling"
"241","loevlie"
"242","mascil"
"243","masschelein"
"244","mead"
"245","mertens"
"246","nepper"
"247","nohl"
"248","nordenbo"
"249","ørsted"
"250","parchmann"
"251","paul"
"252","poeck"
"253","reichenbach"
"254","ricken"
"255","ricoeur"
"256","roberts"
"257","roennebeck"
"258","roy"
"259","rychen"
"260","s"
"261","sadler"
"262","said"
"263","salganik"
"264","schaffar"
"265","schecker"
"266","schneider"
"267","shavelson"
"268","shehe"
"269","sim"
"270","sjøberg"
"271","sodian"
"272","sølberg"
"273","søren"
"274","staeheli"
"275","standish"
"276","steen"
"277","sterling"
"278","th"
"279","themenbereiche"
"280","theyoeen"
"281","thoematiques"
"282","thomas"
"283","troelsen"
"284","uljens"
"285","van"
"286","vandenabeele"
"287","vkevoe"
"288","voesquezlevy"
"289","von"
"290","walløe"
"291","weinert"
"292","weniger"
"293","willbergh"
"294","wolfgang"
"295","wwwestablishfeu"
"296","wwwmascilproject"
"297","zembylas"
"298","TRUE"
"299","c"
"300","compoetences"
"301","d"
"302","e"
"303","eg"
"304","fd"
"305","handlungsaspekt"
"306","ia"
"307","ie"
"308","knowledge”"
"309","koeppen"
"310","p"
"311","aftenblad"
"312","nyt"
"313","b"
"314","bengtsen"
"315","complete"
"316","completely"
"317","done"
"318","famous"
"319","every"
"320","far"
"321","following"
"322","box"
"323","found"
"324","fourth"
"325","france"
"326","highly"
"327","hitherto"
