"","Var1","Freq"
"1","1",23
"2","2",16
"3","3",18
"4","4",13
"5","5",10
"6","6",9
"7","7",10
"8","8",16
"9","9",10
"10","10",13
"11","11",9
"12","12",10
"13","13",9
"14","14",10
"15","15",4
"16","16",18
"17","17",9
"18","18",9
"19","19",9
"20","20",10
"21","21",12
"22","22",11
"23","23",10
"24","24",9
"25","25",7
"26","26",9
"27","27",7
"28","28",12
"29","29",8
"30","30",9
"31","31",8
"32","32",9
"33","33",5
"34","34",9
"35","35",5
"36","36",8
"37","37",7
"38","38",8
"39","39",8
"40","40",8
"41","41",7
"42","42",9
"43","43",8
"44","44",10
"45","45",8
"46","46",7
"47","47",7
"48","48",7
"49","49",5
"50","50",8
"51","51",5
"52","52",9
"53","53",6
"54","54",6
"55","55",5
"56","56",6
"57","57",7
"58","58",7
"59","59",5
"60","60",5
"61","61",6
"62","62",7
"63","63",7
"64","64",4
"65","65",3
"66","66",4
"67","67",6
"68","68",5
"69","69",4
"70","70",5
"71","71",6
"72","72",4
"73","73",3
"74","74",4
"75","75",3
"76","76",3
"77","77",2
"78","78",2
