"","Var1","Freq"
"1","1",27
"2","2",11
"3","3",36
"4","4",19
"5","5",19
"6","6",18
"7","7",18
"8","8",20
"9","9",21
"10","10",21
"11","11",16
"12","12",16
"13","13",18
"14","14",17
"15","15",14
"16","16",15
"17","17",9
"18","18",15
"19","19",14
"20","20",13
"21","21",12
"22","22",16
"23","23",12
"24","24",9
"25","25",14
"26","26",6
"27","27",13
"28","28",8
"29","29",14
"30","30",8
"31","31",16
"32","32",13
"33","33",12
"34","34",13
"35","35",13
"36","36",12
"37","37",9
"38","38",7
"39","39",7
"40","40",13
"41","41",8
"42","42",9
"43","43",9
"44","44",11
"45","45",15
"46","46",9
"47","47",7
"48","48",7
"49","49",8
"50","50",7
"51","51",11
"52","52",9
"53","53",7
"54","54",10
"55","55",7
"56","56",8
"57","57",4
"58","58",8
"59","59",10
"60","60",7
"61","61",8
"62","62",7
"63","63",9
"64","64",7
"65","65",7
"66","66",10
"67","67",8
"68","68",5
"69","69",7
"70","70",8
"71","71",7
"72","72",8
"73","73",6
"74","74",5
"75","75",6
"76","76",9
"77","77",9
"78","78",6
"79","79",8
"80","80",5
"81","81",6
"82","82",8
"83","83",8
"84","84",7
"85","85",7
"86","86",5
"87","87",7
"88","88",4
"89","89",8
"90","90",6
"91","91",5
"92","92",8
"93","93",6
"94","94",6
"95","95",4
"96","96",5
"97","97",9
"98","98",4
"99","99",5
"100","100",3
"101","101",3
"102","102",6
"103","103",3
"104","104",4
"105","105",3
"106","106",3
"107","107",2
"108","108",4
"109","109",3
"110","110",3
"111","111",3
"112","112",3
"113","113",2
"114","114",2
"115","115",2
"116","116",2
"117","117",2
