"","Var1","Freq"
"1","1",26
"2","2",30
"3","3",12
"4","4",22
"5","5",21
"6","6",10
"7","7",16
"8","8",14
"9","9",20
"10","10",13
"11","11",10
"12","12",15
"13","13",13
"14","14",15
"15","15",10
"16","16",11
"17","17",9
"18","18",8
"19","19",12
"20","20",13
"21","21",9
"22","22",14
"23","23",10
"24","24",4
"25","25",13
"26","26",10
"27","27",11
"28","28",8
"29","29",10
"30","30",14
"31","31",10
"32","32",9
"33","33",14
"34","34",7
"35","35",8
"36","36",12
"37","37",7
"38","38",9
"39","39",9
"40","40",9
"41","41",8
"42","42",5
"43","43",8
"44","44",7
"45","45",11
"46","46",8
"47","47",8
"48","48",8
"49","49",6
"50","50",7
"51","51",9
"52","52",5
"53","53",7
"54","54",8
"55","55",9
"56","56",5
"57","57",7
"58","58",8
"59","59",6
"60","60",5
"61","61",5
"62","62",7
"63","63",6
"64","64",9
"65","65",7
"66","66",5
"67","67",4
"68","68",4
"69","69",3
"70","70",3
"71","71",3
"72","72",5
"73","73",6
"74","74",3
"75","75",6
"76","76",7
"77","77",4
"78","78",6
"79","79",6
"80","80",6
"81","81",3
"82","82",5
"83","83",4
"84","84",3
"85","85",3
"86","86",5
"87","87",4
"88","88",3
"89","89",2
"90","90",2
"91","91",2
